	None	Other Fungi	Yeast	n_samples	label
Animal secretion	0.0	15.0	85.0	20	Animal secretion (20)
Fungus corpus	0.0	25.0	75.0	12	Fungus corpus (12)
Surface (saline)	0.0	25.0	75.0	4	Surface (saline) (4)
Water (saline)	0.0	25.64102564102564	74.35897435897436	39	Water (saline) (39)
Animal proximal gut	0.0	30.0	70.0	30	Animal proximal gut (30)
Sediment (non-saline)	8.51063829787234	23.404255319148938	68.08510638297872	47	Sediment (non-saline) (47)
Animal distal gut	1.098901098901099	33.51648351648351	65.38461538461539	182	Animal distal gut (182)
Plant corpus	0.0	42.857142857142854	57.14285714285714	28	Plant corpus (28)
Sediment (saline)	1.5151515151515151	45.45454545454545	53.03030303030303	66	Sediment (saline) (66)
Soil (non-saline)	11.627906976744185	37.67441860465116	50.697674418604656	215	Soil (non-saline) (215)
Subsurface (non-saline)	10.0	40.0	50.0	10	Subsurface (non-saline) (10)
Water (non-saline)	0.0	54.166666666666664	45.83333333333333	24	Water (non-saline) (24)
Animal corpus	5.970149253731343	52.23880597014925	41.7910447761194	67	Animal corpus (67)
Plant surface	1.7543859649122806	64.91228070175438	33.33333333333333	57	Plant surface (57)
Sterile water blank	100.0	0.0	0.0	16	Sterile water blank (16)
