subphylum	Animal corpus (67)	Animal distal gut (182)	Animal proximal gut (30)	Animal secretion (20)	Fungus corpus (12)	Plant corpus (28)	Plant surface (56)	Sediment (non-saline) (47)	Sediment (saline) (66)	Soil (non-saline) (215)	Sterile water blank (16)	Subsurface (non-saline) (10)	Surface (saline) (4)	Water (non-saline) (24)	Water (saline) (39)
Agaricomycotina	5.0918857943285896e-05	0.0005604373121329043	0.001065773652492041	0.0	1.1521790471010393e-05	7.816739300757852e-05	0.006632100081165394	0.00015574456056076098	2.7673262323078053e-07	0.0002549245226665422	0.0	0.0	0.0	0.00013190354900199922	7.2996174708460584e-06
Pezizomycotina	3.792378497169653e-05	0.0010405783595518864	0.0001984277904734818	0.00026699749508227665	0.0003525853055852825	0.0025722162307727546	0.00373879652444626	0.0003168671803453108	0.02239969009333792	0.0015886575828847245	0.0	0.0	6.019454133559118e-05	0.0001785635356420097	0.001685817030770303
Pucciniomycotina	0.0	3.9798096652983584e-05	0.0	0.0	0.0	4.753398770867875e-06	9.22435657161119e-06	0.0	0.0	1.5272086264533306e-05	0.0	0.0	0.0	0.0	1.2861230781966863e-05
Saccharomycotina	0.012572817056277327	0.025706059476873187	0.05567653912605561	0.04810199069824077	0.00010862900642073153	0.003749136291497861	0.005774622193843622	0.0014227090886773845	0.014990031695074539	0.016568957535766957	0.0	0.04275259234826022	0.01693027897789814	0.0016203082264626197	0.016006683205874544
Taphrinomycotina	0.0	2.2624480797010294e-05	0.0	0.0	0.0	0.0	0.0	3.94440880601888e-06	1.3235575840771645e-06	0.0	0.0	0.0	0.0	0.0	0.0
Ustilaginomycotina	0.004939734332191216	0.0015729443122693952	0.0023600267628172845	0.009421750103721753	0.0009391223567956583	0.00024798242034624213	0.0006775179936095237	0.0001823596877674086	0.0012625751523983922	0.0013306874037848273	0.0	0.04521877508436886	0.0	0.005758549354141748	0.016718153522006403
Wallemiomycotina	0.0003227025424216918	0.00020389701033411136	0.00012286676574929236	0.0	0.0	0.0006251972617263292	1.233175251688008e-05	0.0003011538951050914	0.0002983031507584279	0.00011937611134322199	0.0	0.0	0.00017705360940476397	0.00036770886945029064	0.002759745719025071
