subphylum	alcohol (42)	dairy (942)	fermented_beverages (408)	fermented_fish (5)	fermented_fruits_and_vegetables (52)	fermented_grains (83)	fermented_legumes (19)	fermented_meat (53)	fermented_seeds (57)	fermented_tubers_and_roots (24)	fish (93)	fruits_and_vegetables (49)	meat (70)	other (5)	probiotics (29)
Agaricomycotina	0.009157594268631195	0.0004672685270801649	0.0008305203345204472	0.020780962203894776	0.0005297011124050903	0.0032079448139058224	0.010011149428874216	0.0008809118086393909	0.0011462879609444045	0.01909300137923516	0.00036950448910268266	0.029814735888674008	3.165288945563821e-05	9.727611231880086e-05	0.0
Pezizomycotina	0.8080962459187088	0.004005021082101692	0.003366081482598441	0.0	0.021002397538856805	0.0002711153951035664	0.00014909774330356342	0.00019740842691775166	0.0007311387870651326	0.004867870184342346	0.00021927703534060908	0.022799163439151362	4.012528488124387e-05	0.03866026122511203	0.0
Pucciniomycotina	0.02269006818688974	0.0001523036436761985	0.0003442547258578396	0.00034154172991686187	0.0011262127758605773	0.0018558680671330967	0.0	0.0	0.0004068437928496772	0.0010994803412775849	8.268903431093339e-06	0.003651456465837451	0.0	6.127038006016752e-05	0.0
Saccharomycotina	58.05066925770865	2.69816042222343	19.088824474191153	0.06056880441285476	3.8543465846397313	2.427687359192383	0.06785664191594298	0.17849771849840396	5.172865716891943	4.434134289764841	0.005380327019438212	0.06318818599536258	0.0791629467021103	0.4623397097770143	2.8925716797958776
Taphrinomycotina	0.0195642103355889	0.001058277541315051	0.033933492048443405	0.0	4.898664819730864e-05	0.00019124533215394117	0.010222129766669799	0.0	0.02578356498548734	0.002064430443486285	0.0009161584290126852	0.0003516451381157186	0.0009493044324225482	0.0	0.00042704065542012085
Ustilaginomycotina	2.3515989571325827e-05	0.003810362217159339	0.0008093814508735425	0.0	0.01657587864304937	0.016532552672922415	0.0007169472480623585	0.011552802716052036	0.004860593190988004	0.002205521188989586	0.15474136872106334	0.012548231052363468	0.005897140162718449	0.0001531759501504188	0.0
Wallemiomycotina	2.297536272117385e-05	0.0028753566789997288	0.00011722350320611932	0.010822129038007345	0.0024611378486266602	7.591742097230699e-05	0.00011683656852039111	1.0686904026300409e-05	3.885065268355918e-06	0.0005369609247637705	0.04361045310607962	0.000914186380277857	0.0431926237973154	3.063519003008376e-05	0.0
