	Subphylum	Relative_Abundance	Sample	Total_Reads	Reads_Subphylum
174	Agaricomycotina	0.0	174		
175	Agaricomycotina	0.0	175		
176	Agaricomycotina	0.0	176		
177	Agaricomycotina	0.0	177		
178	Agaricomycotina	0.0	178		
179	Agaricomycotina	0.0	179		
180	Agaricomycotina	0.0	180		
181	Agaricomycotina	0.0	181		
182	Agaricomycotina	0.0	182		
183	Agaricomycotina	0.0	183		
184	Agaricomycotina	0.0	184		
185	Agaricomycotina	0.0	185		
186	Agaricomycotina	0.0	186		
187	Agaricomycotina	0.0	187		
188	Agaricomycotina	0.0	188		
189	Agaricomycotina	0.0	189		
190	Agaricomycotina	0.0	190		
191	Agaricomycotina	0.0	191		
192	Agaricomycotina	0.0	192		
193	Agaricomycotina	0.0	193		
194	Agaricomycotina	0.0	194		
195	Agaricomycotina	0.0	195		
196	Agaricomycotina	0.0	196		
197	Agaricomycotina	0.0	197		
198	Agaricomycotina	0.0	198		
199	Agaricomycotina	0.0	199		
200	Agaricomycotina	0.0	200		
201	Agaricomycotina	0.0	201		
202	Agaricomycotina	0.0	202		
203	Agaricomycotina	0.0	203		
204	Agaricomycotina	0.0	204		
205	Agaricomycotina	0.0	205		
206	Agaricomycotina	0.0	206		
207	Agaricomycotina	0.0	207		
208	Agaricomycotina	0.0	208		
209	Agaricomycotina	0.0	209		
210	Agaricomycotina	0.0	210		
211	Agaricomycotina	0.001014428754753346	211		
212	Agaricomycotina	0.0	212		
213	Agaricomycotina	0.0	213		
214	Agaricomycotina	0.0	214		
215	Agaricomycotina	0.0	215		
216	Agaricomycotina	0.0	216		
217	Agaricomycotina	0.0	217		
218	Agaricomycotina	0.0	218		
219	Agaricomycotina	0.0	219		
220	Agaricomycotina	0.0	220		
221	Agaricomycotina	0.0	221		
222	Agaricomycotina	0.0	222		
223	Agaricomycotina	0.0	223		
224	Agaricomycotina	0.0	224		
225	Agaricomycotina	0.0	225		
226	Agaricomycotina	0.0	226		
227	Agaricomycotina	0.0	227		
228	Agaricomycotina	0.0	228		
229	Agaricomycotina	0.025729322004726253	229		
230	Agaricomycotina	0.01268352213333992	230		
231	Agaricomycotina	0.009877390852476516	231		
232	Agaricomycotina	0.0	232		
233	Agaricomycotina	0.022126504602312958	233		
234	Agaricomycotina	0.00931820135175465	234		
235	Agaricomycotina	0.0	235		
236	Agaricomycotina	0.0	236		
237	Agaricomycotina	0.025699504636468747	237		
238	Agaricomycotina	0.015310748024793184	238		
239	Agaricomycotina	0.004997030119167073	239		
240	Agaricomycotina	0.0	240		
241	Agaricomycotina	0.0	241		
242	Agaricomycotina	0.0	242		
243	Agaricomycotina	0.0	243		
244	Agaricomycotina	0.0	244		
245	Agaricomycotina	0.0	245		
246	Agaricomycotina	0.0	246		
247	Agaricomycotina	0.0	247		
248	Agaricomycotina	0.0	248		
249	Agaricomycotina	0.0	249		
250	Agaricomycotina	0.0	250		
251	Agaricomycotina	0.0	251		
252	Agaricomycotina	0.0	252		
253	Agaricomycotina	0.0	253		
254	Agaricomycotina	0.0	254		
255	Agaricomycotina	0.0	255		
256	Agaricomycotina	0.0	256		
257	Agaricomycotina	0.0	257		
258	Agaricomycotina	0.0	258		
259	Agaricomycotina	0.0	259		
260	Agaricomycotina	0.0	260		
261	Agaricomycotina	0.0	261		
262	Agaricomycotina	0.0	262		
263	Agaricomycotina	0.0	263		
264	Agaricomycotina	0.0	264		
265	Agaricomycotina	0.0	265		
266	Agaricomycotina	0.0	266		
267	Agaricomycotina	0.0	267		
268	Agaricomycotina	0.0	268		
269	Agaricomycotina	0.0	269		
270	Agaricomycotina	0.0	270		
271	Agaricomycotina	0.0	271		
272	Agaricomycotina	0.0	272		
273	Agaricomycotina	0.0	273		
274	Agaricomycotina	0.0	274		
275	Agaricomycotina	0.0	275		
276	Agaricomycotina	0.0	276		
277	Agaricomycotina	0.0	277		
278	Agaricomycotina	0.0	278		
279	Agaricomycotina	0.00011187434273823641	279		
280	Agaricomycotina	0.0	280		
281	Agaricomycotina	0.0005076183359864852	281		
282	Agaricomycotina	0.0	282		
283	Agaricomycotina	0.0	283		
284	Agaricomycotina	0.0	284		
285	Agaricomycotina	0.0	285		
286	Agaricomycotina	0.0	286		
287	Agaricomycotina	0.0	287		
288	Agaricomycotina	0.0	288		
289	Agaricomycotina	0.0	289		
290	Agaricomycotina	0.0	290		
291	Agaricomycotina	0.0	291		
292	Agaricomycotina	0.0	292		
293	Agaricomycotina	0.0	293		
294	Agaricomycotina	0.0	294		
295	Agaricomycotina	0.0	295		
296	Agaricomycotina	0.0	296		
297	Agaricomycotina	0.0	297		
298	Agaricomycotina	0.0	298		
299	Agaricomycotina	0.0	299		
300	Agaricomycotina	0.002917098873027469	300		
301	Agaricomycotina	0.0	301		
302	Agaricomycotina	0.0	302		
303	Agaricomycotina	0.0	303		
304	Agaricomycotina	0.0	304		
305	Agaricomycotina	0.0	305		
306	Agaricomycotina	0.0	306		
307	Agaricomycotina	0.0	307		
308	Agaricomycotina	0.0	308		
309	Agaricomycotina	0.0	309		
310	Agaricomycotina	0.0	310		
311	Agaricomycotina	0.0	311		
312	Agaricomycotina	0.0	312		
313	Agaricomycotina	0.0	313		
314	Agaricomycotina	0.0	314		
315	Agaricomycotina	0.0	315		
316	Agaricomycotina	0.0	316		
317	Agaricomycotina	0.0	317		
318	Agaricomycotina	0.0	318		
319	Agaricomycotina	0.0	319		
320	Agaricomycotina	0.0	320		
321	Agaricomycotina	0.0	321		
322	Agaricomycotina	0.0	322		
323	Agaricomycotina	0.0	323		
324	Agaricomycotina	0.0	324		
325	Agaricomycotina	0.0	325		
326	Agaricomycotina	0.0	326		
327	Agaricomycotina	0.0	327		
328	Agaricomycotina	0.004645180632966484	328		
329	Agaricomycotina	0.0	329		
330	Agaricomycotina	0.0	330		
331	Agaricomycotina	0.0	331		
332	Agaricomycotina	0.0	332		
333	Agaricomycotina	0.0	333		
334	Agaricomycotina	0.0	334		
335	Agaricomycotina	0.0	335		
336	Agaricomycotina	0.0	336		
337	Agaricomycotina	0.0	337		
338	Agaricomycotina	0.0	338		
339	Agaricomycotina	0.0	339		
340	Agaricomycotina	0.0	340		
341	Agaricomycotina	0.0	341		
342	Agaricomycotina	0.006769192131255617	342		
343	Agaricomycotina	0.0	343		
344	Agaricomycotina	0.0	344		
345	Agaricomycotina	0.0	345		
346	Agaricomycotina	0.00757402920804288	346		
347	Agaricomycotina	0.0	347		
348	Agaricomycotina	0.0	348		
349	Agaricomycotina	0.0	349		
350	Agaricomycotina	0.006812757077832118	350		
351	Agaricomycotina	0.0	351		
352	Agaricomycotina	0.002723832748067692	352		
353	Agaricomycotina	0.0	353		
354	Agaricomycotina	0.0	354		
355	Agaricomycotina	0.0	355		
356	Agaricomycotina	0.009355633777013476	356		
357	Agaricomycotina	0.04757537939641323	357		
358	Agaricomycotina	0.0	358		
359	Agaricomycotina	0.0	359		
360	Agaricomycotina	0.0	360		
361	Agaricomycotina	0.0	361		
362	Agaricomycotina	0.0038022267937884726	362		
363	Agaricomycotina	0.0	363		
364	Agaricomycotina	0.0	364		
365	Agaricomycotina	0.021611046165001962	365		
366	Agaricomycotina	0.0	366		
367	Agaricomycotina	0.0	367		
368	Agaricomycotina	0.0	368		
369	Agaricomycotina	0.0	369		
370	Agaricomycotina	0.0	370		
371	Agaricomycotina	0.0	371		
372	Agaricomycotina	0.0	372		
373	Agaricomycotina	0.0	373		
374	Agaricomycotina	0.0	374		
375	Agaricomycotina	0.0	375		
376	Agaricomycotina	0.0	376		
377	Agaricomycotina	0.0	377		
378	Agaricomycotina	0.0	378		
379	Agaricomycotina	0.0	379		
380	Agaricomycotina	0.0	380		
381	Agaricomycotina	0.0	381		
382	Agaricomycotina	0.0	382		
383	Agaricomycotina	0.0	383		
384	Agaricomycotina	0.0	384		
385	Agaricomycotina	0.0	385		
386	Agaricomycotina	0.0	386		
387	Agaricomycotina	0.0	387		
388	Agaricomycotina	0.0	388		
389	Agaricomycotina	0.0	389		
390	Agaricomycotina	0.0	390		
391	Agaricomycotina	0.0	391		
392	Agaricomycotina	0.0	392		
393	Agaricomycotina	0.0	393		
394	Agaricomycotina	0.0	394		
395	Agaricomycotina	0.0	395		
396	Agaricomycotina	0.0	396		
397	Agaricomycotina	0.0	397		
398	Agaricomycotina	0.0	398		
399	Agaricomycotina	0.0	399		
400	Agaricomycotina	0.0	400		
401	Agaricomycotina	0.0	401		
402	Agaricomycotina	0.0	402		
403	Agaricomycotina	0.0	403		
404	Agaricomycotina	0.0	404		
405	Agaricomycotina	0.0	405		
406	Agaricomycotina	0.0	406		
407	Agaricomycotina	0.0	407		
408	Agaricomycotina	0.0	408		
409	Agaricomycotina	0.0	409		
410	Agaricomycotina	0.0	410		
411	Agaricomycotina	0.0	411		
412	Agaricomycotina	0.0	412		
413	Agaricomycotina	0.0635827026956163	413		
414	Agaricomycotina	0.0012296991767487618	414		
415	Agaricomycotina	0.0	415		
416	Agaricomycotina	0.0	416		
417	Agaricomycotina	0.0	417		
418	Agaricomycotina	0.0	418		
419	Agaricomycotina	0.0	419		
420	Agaricomycotina	0.0	420		
421	Agaricomycotina	0.0	421		
422	Agaricomycotina	0.0	422		
423	Agaricomycotina	0.0	423		
424	Agaricomycotina	0.0	424		
425	Agaricomycotina	0.0	425		
426	Agaricomycotina	0.0	426		
427	Agaricomycotina	0.0	427		
428	Agaricomycotina	0.0	428		
429	Agaricomycotina	0.0	429		
430	Agaricomycotina	0.0	430		
431	Agaricomycotina	0.0	431		
432	Agaricomycotina	0.0	432		
433	Agaricomycotina	0.0	433		
434	Agaricomycotina	0.0	434		
435	Agaricomycotina	0.0	435		
436	Agaricomycotina	0.0	436		
437	Agaricomycotina	0.0	437		
438	Agaricomycotina	0.0	438		
439	Agaricomycotina	0.0	439		
440	Agaricomycotina	0.0	440		
441	Agaricomycotina	0.0	441		
442	Agaricomycotina	0.0	442		
443	Agaricomycotina	0.0	443		
444	Agaricomycotina	0.0	444		
445	Agaricomycotina	0.0	445		
446	Agaricomycotina	0.0	446		
447	Agaricomycotina	0.0	447		
448	Agaricomycotina	0.0	448		
449	Agaricomycotina	0.0	449		
450	Agaricomycotina	0.0	450		
451	Agaricomycotina	0.0	451		
452	Agaricomycotina	0.0	452		
453	Agaricomycotina	0.0	453		
454	Agaricomycotina	0.0	454		
455	Agaricomycotina	0.0	455		
456	Agaricomycotina	0.0	456		
457	Agaricomycotina	0.0	457		
458	Agaricomycotina	0.0	458		
459	Agaricomycotina	0.0	459		
460	Agaricomycotina	0.0	460		
461	Agaricomycotina	0.0	461		
462	Agaricomycotina	0.0	462		
463	Agaricomycotina	0.0	463		
464	Agaricomycotina	0.0	464		
465	Agaricomycotina	0.0	465		
466	Agaricomycotina	0.0	466		
467	Agaricomycotina	0.0	467		
468	Agaricomycotina	0.0	468		
469	Agaricomycotina	0.0	469		
470	Agaricomycotina	0.0	470		
471	Agaricomycotina	0.0	471		
472	Agaricomycotina	0.0	472		
473	Agaricomycotina	0.0	473		
474	Agaricomycotina	0.0	474		
475	Agaricomycotina	0.0	475		
476	Agaricomycotina	0.0	476		
477	Agaricomycotina	0.0	477		
478	Agaricomycotina	0.0	478		
479	Agaricomycotina	0.0	479		
480	Agaricomycotina	0.0	480		
481	Agaricomycotina	0.0	481		
482	Agaricomycotina	0.0	482		
483	Agaricomycotina	0.0	483		
484	Agaricomycotina	0.0	484		
485	Agaricomycotina	0.0	485		
486	Agaricomycotina	0.0	486		
487	Agaricomycotina	0.0	487		
488	Agaricomycotina	0.0	488		
489	Agaricomycotina	0.0	489		
490	Agaricomycotina	0.0	490		
491	Agaricomycotina	0.0	491		
492	Agaricomycotina	0.0	492		
493	Agaricomycotina	0.0	493		
494	Agaricomycotina	0.0	494		
495	Agaricomycotina	0.0	495		
496	Agaricomycotina	0.0	496		
497	Agaricomycotina	0.0	497		
498	Agaricomycotina	0.0	498		
499	Agaricomycotina	0.0	499		
500	Agaricomycotina	0.0	500		
501	Agaricomycotina	0.0	501		
502	Agaricomycotina	0.0	502		
503	Agaricomycotina	0.0	503		
504	Agaricomycotina	0.0	504		
505	Agaricomycotina	0.0	505		
506	Agaricomycotina	0.0	506		
507	Agaricomycotina	0.0	507		
508	Agaricomycotina	0.0	508		
509	Agaricomycotina	0.0	509		
510	Agaricomycotina	0.10390481101947388	510		
511	Agaricomycotina	0.0	511		
512	Agaricomycotina	0.0	512		
513	Agaricomycotina	0.0	513		
514	Agaricomycotina	0.0	514		
515	Agaricomycotina	0.0	515		
516	Agaricomycotina	0.0	516		
517	Agaricomycotina	0.0	517		
518	Agaricomycotina	0.07527221819243109	518		
519	Agaricomycotina	0.10904178392096044	519		
520	Agaricomycotina	0.0	520		
521	Agaricomycotina	0.0	521		
522	Agaricomycotina	0.0007111969054833983	522		
523	Agaricomycotina	0.00022032850564477472	523		
524	Agaricomycotina	0.0015577549091533279	524		
525	Agaricomycotina	0.00036883562873137336	525		
526	Agaricomycotina	0.0016578354985711677	526		
527	Agaricomycotina	0.0	527		
528	Agaricomycotina	0.0	528		
529	Agaricomycotina	0.014990885943486371	529		
530	Agaricomycotina	0.0019792617113243514	530		
531	Agaricomycotina	0.0006074774018406515	531		
532	Agaricomycotina	0.0029517457184845904	532		
533	Agaricomycotina	0.00020710883021191374	533		
534	Agaricomycotina	0.00195973833839433	534		
535	Agaricomycotina	0.0	535		
536	Agaricomycotina	0.0	536		
537	Agaricomycotina	0.000438827124802185	537		
538	Agaricomycotina	0.0	538		
539	Agaricomycotina	0.0	539		
540	Agaricomycotina	0.0	540		
541	Agaricomycotina	0.0	541		
542	Agaricomycotina	0.0	542		
543	Agaricomycotina	0.0	543		
544	Agaricomycotina	0.0	544		
545	Agaricomycotina	0.0	545		
546	Agaricomycotina	0.0	546		
547	Agaricomycotina	0.0	547		
548	Agaricomycotina	0.0	548		
549	Agaricomycotina	0.0	549		
550	Agaricomycotina	0.0	550		
551	Agaricomycotina	0.0	551		
552	Agaricomycotina	0.0	552		
553	Agaricomycotina	0.0	553		
554	Agaricomycotina	0.0	554		
555	Agaricomycotina	0.0	555		
556	Agaricomycotina	0.0	556		
557	Agaricomycotina	0.0	557		
558	Agaricomycotina	0.0	558		
559	Agaricomycotina	0.0	559		
560	Agaricomycotina	0.0	560		
561	Agaricomycotina	0.0	561		
562	Agaricomycotina	0.0	562		
563	Agaricomycotina	0.0	563		
564	Agaricomycotina	0.0	564		
565	Agaricomycotina	0.0005451782573337113	565		
566	Agaricomycotina	0.0007126764076573841	566		
567	Agaricomycotina	0.0004735979929328884	567		
568	Agaricomycotina	0.0008269846895109686	568		
569	Agaricomycotina	0.0014545845991433125	569		
570	Agaricomycotina	0.0012109219657116437	570		
571	Agaricomycotina	0.0013587786651225366	571		
572	Agaricomycotina	0.0	572		
573	Agaricomycotina	0.0010260369895662349	573		
574	Agaricomycotina	0.0013621496376552645	574		
575	Agaricomycotina	0.0018654007445952582	575		
576	Agaricomycotina	0.001262585473771267	576		
577	Agaricomycotina	0.0011645080501011405	577		
578	Agaricomycotina	0.0013552445467455944	578		
579	Agaricomycotina	0.001214352945280594	579		
580	Agaricomycotina	0.029431173439052046	580		
581	Agaricomycotina	0.0	581		
582	Agaricomycotina	0.0	582		
583	Agaricomycotina	0.001362085322960267	583		
584	Agaricomycotina	0.0	584		
585	Agaricomycotina	0.021208026737509017	585		
586	Agaricomycotina	0.0	586		
587	Agaricomycotina	0.020546676731715032	587		
588	Agaricomycotina	0.0	588		
589	Agaricomycotina	0.0	589		
590	Agaricomycotina	0.0	590		
591	Agaricomycotina	0.0	591		
592	Agaricomycotina	0.0	592		
593	Agaricomycotina	0.0	593		
594	Agaricomycotina	0.0	594		
595	Agaricomycotina	0.0	595		
596	Agaricomycotina	0.0	596		
597	Agaricomycotina	0.0	597		
598	Agaricomycotina	0.0	598		
599	Agaricomycotina	0.0	599		
600	Agaricomycotina	3.147431148316569e-05	600		
601	Agaricomycotina	0.0	601		
602	Agaricomycotina	3.144490035889712e-05	602		
603	Agaricomycotina	4.967381114310426e-05	603		
604	Agaricomycotina	0.0	604		
605	Agaricomycotina	0.0	605		
606	Agaricomycotina	0.0	606		
607	Agaricomycotina	0.0	607		
608	Agaricomycotina	0.0	608		
609	Agaricomycotina	0.0	609		
610	Agaricomycotina	0.046319443029565185	610		
611	Agaricomycotina	0.08754817820529026	611		
612	Agaricomycotina	0.003077895193118742	612		
613	Agaricomycotina	0.004293262942944734	613		
614	Agaricomycotina	0.0	614		
615	Agaricomycotina	0.0	615		
616	Agaricomycotina	0.0	616		
617	Agaricomycotina	0.0	617		
618	Agaricomycotina	0.004056843235782082	618		
619	Agaricomycotina	0.0003516837873145339	619		
620	Agaricomycotina	0.00021244842650182424	620		
621	Agaricomycotina	0.00022759071249506307	621		
622	Agaricomycotina	0.00022680178644788668	622		
623	Agaricomycotina	0.00025171771574616404	623		
624	Agaricomycotina	0.00019848360749855488	624		
625	Agaricomycotina	0.0003753667458228938	625		
626	Agaricomycotina	0.00041362446959201287	626		
627	Agaricomycotina	0.0003749174321746848	627		
628	Agaricomycotina	0.0010638755830200371	628		
629	Agaricomycotina	0.00207112879251552	629		
630	Agaricomycotina	0.01487391938228357	630		
631	Agaricomycotina	0.001322689895668587	631		
632	Agaricomycotina	0.0	632		
633	Agaricomycotina	0.0	633		
634	Agaricomycotina	0.0	634		
635	Agaricomycotina	0.0	635		
636	Agaricomycotina	0.0	636		
637	Agaricomycotina	0.0	637		
638	Agaricomycotina	0.0	638		
639	Agaricomycotina	0.0	639		
640	Agaricomycotina	0.0	640		
641	Agaricomycotina	0.0	641		
642	Agaricomycotina	0.0005909648301993611	642		
643	Agaricomycotina	0.0007135716189444807	643		
644	Agaricomycotina	0.0	644		
645	Agaricomycotina	0.00022184767852118637	645		
646	Agaricomycotina	0.0	646		
647	Agaricomycotina	0.0014745541112207014	647		
648	Agaricomycotina	0.0027644430631537016	648		
649	Agaricomycotina	0.0	649		
650	Agaricomycotina	0.0	650		
651	Agaricomycotina	0.0	651		
652	Agaricomycotina	0.0	652		
653	Agaricomycotina	0.0	653		
654	Agaricomycotina	0.0	654		
655	Agaricomycotina	0.0	655		
656	Agaricomycotina	0.0	656		
657	Agaricomycotina	0.0027784160081216727	657		
658	Agaricomycotina	0.01656247084072035	658		
659	Agaricomycotina	0.0	659		
660	Agaricomycotina	0.0	660		
661	Agaricomycotina	0.0	661		
662	Agaricomycotina	0.0	662		
663	Agaricomycotina	0.0	663		
664	Agaricomycotina	0.0	664		
665	Agaricomycotina	0.0	665		
666	Agaricomycotina	0.0	666		
667	Agaricomycotina	0.001551765362586369	667		
668	Agaricomycotina	0.0	668		
669	Agaricomycotina	0.0	669		
670	Agaricomycotina	0.0	670		
671	Agaricomycotina	0.0	671		
672	Agaricomycotina	0.0	672		
673	Agaricomycotina	0.0	673		
674	Agaricomycotina	0.0	674		
675	Agaricomycotina	0.0	675		
676	Agaricomycotina	0.0	676		
677	Agaricomycotina	0.0	677		
678	Agaricomycotina	0.0	678		
679	Agaricomycotina	0.0	679		
680	Agaricomycotina	0.0	680		
681	Agaricomycotina	0.0	681		
682	Agaricomycotina	0.0	682		
683	Agaricomycotina	0.0	683		
684	Agaricomycotina	0.0	684		
685	Agaricomycotina	0.0013709413678180057	685		
686	Agaricomycotina	0.0	686		
687	Agaricomycotina	0.0	687		
688	Agaricomycotina	0.0	688		
689	Agaricomycotina	0.0	689		
690	Agaricomycotina	0.0	690		
691	Agaricomycotina	0.0	691		
692	Agaricomycotina	0.0	692		
693	Agaricomycotina	0.0	693		
694	Agaricomycotina	0.0	694		
695	Agaricomycotina	0.0	695		
696	Agaricomycotina	0.0	696		
697	Agaricomycotina	0.0	697		
698	Agaricomycotina	0.0	698		
699	Agaricomycotina	0.0	699		
700	Agaricomycotina	0.0	700		
701	Agaricomycotina	0.0	701		
702	Agaricomycotina	0.0	702		
703	Agaricomycotina	0.0	703		
704	Agaricomycotina	0.0	704		
705	Agaricomycotina	0.0	705		
706	Agaricomycotina	0.0	706		
707	Agaricomycotina	0.0	707		
708	Agaricomycotina	0.0	708		
709	Agaricomycotina	0.0	709		
710	Agaricomycotina	0.0	710		
711	Agaricomycotina	0.0	711		
712	Agaricomycotina	0.0	712		
713	Agaricomycotina	0.0	713		
714	Agaricomycotina	0.0	714		
715	Agaricomycotina	0.0	715		
716	Agaricomycotina	0.0	716		
