sample_name	subphylum	relative_abundance	subphylum_label
13114.zaneveld.9.s010	Saccharomycotina	0.1385477029071005	Saccharomycotina
13114.zaneveld.9.s019	Saccharomycotina	0.08551202451285009	Saccharomycotina
13114.angenent.65.s005	Saccharomycotina	0.051987196571844044	Saccharomycotina
13114.angenent.65.s005	Wallemiomycotina	0.002125385764035761	Wallemiomycotina
13114.berry.2.s002	Saccharomycotina	8.819373411741091e-06	Saccharomycotina
13114.berry.2.s002	Wallemiomycotina	8.819373411741091e-06	Wallemiomycotina
13114.berry.2.s004	Saccharomycotina	0.005035755956818706	Saccharomycotina
13114.berry.2.s007	Pezizomycotina	4.528763991616352e-05	Pezizomycotina
13114.berry.2.s007	Wallemiomycotina	2.264381995808176e-05	Wallemiomycotina
13114.berry.2.s009	Saccharomycotina	1.6662113744086094e-05	Saccharomycotina
13114.berry.2.s009	Ustilaginomycotina	8.331056872043047e-06	Ustilaginomycotina
13114.berry.2.s011	Saccharomycotina	1.2987859727997853e-05	Saccharomycotina
13114.berry.2.s012	Ustilaginomycotina	3.3229369711961176e-05	Ustilaginomycotina
13114.berry.2.s014	Saccharomycotina	0.0004848157704079192	Saccharomycotina
13114.berry.2.s015	Saccharomycotina	0.0002066252924116861	Saccharomycotina
13114.berry.2.s015	Ustilaginomycotina	0.0003615942617204507	Ustilaginomycotina
13114.berry.2.s015	Wallemiomycotina	0.009593317147685427	Wallemiomycotina
13114.berry.2.s018	Agaricomycotina	0.00117572486650383	Agaricomycotina
13114.berry.2.s020	Ustilaginomycotina	0.002914883802312819	Ustilaginomycotina
13114.bittleston.68.s002	Pezizomycotina	0.018556749212651977	Pezizomycotina
13114.bittleston.68.s002	Saccharomycotina	0.011648352612726	Saccharomycotina
13114.bittleston.68.s002	Ustilaginomycotina	0.0007959452508038792	Ustilaginomycotina
13114.bittleston.68.s004	Saccharomycotina	0.0013650655632960254	Saccharomycotina
13114.bittleston.68.s004	Ustilaginomycotina	0.0033897216298653405	Ustilaginomycotina
13114.bittleston.68.s007	Pezizomycotina	0.006865641114662505	Pezizomycotina
13114.bittleston.68.s007	Saccharomycotina	0.13295248990038863	Saccharomycotina
13114.bittleston.68.s007	Ustilaginomycotina	0.000711891002916152	Ustilaginomycotina
13114.bittleston.68.s009	Saccharomycotina	0.006789299902659919	Saccharomycotina
13114.bittleston.68.s011	Saccharomycotina	0.0502461114392597	Saccharomycotina
13114.bowen.74.s007	Saccharomycotina	0.018502693240381167	Saccharomycotina
13114.bowen.74.s010	Ustilaginomycotina	0.0388958757406423	Ustilaginomycotina
13114.bowen.74.s011	Saccharomycotina	0.00029299692806394114	Saccharomycotina
13114.distel.72.s001	Pezizomycotina	0.002364291837676479	Pezizomycotina
13114.distel.72.s001	Saccharomycotina	0.016632136330321342	Saccharomycotina
13114.distel.72.s001	Ustilaginomycotina	0.00032290096857155617	Ustilaginomycotina
13114.distel.72.s002	Saccharomycotina	0.005017673659807093	Saccharomycotina
13114.distel.72.s003	Saccharomycotina	0.09817441288826616	Saccharomycotina
13114.distel.72.s004	Saccharomycotina	0.07949278783615814	Saccharomycotina
13114.distel.72.s006	Saccharomycotina	0.06623085138092538	Saccharomycotina
13114.distel.72.s010	Saccharomycotina	0.041220388773350956	Saccharomycotina
13114.distel.72.s013	Wallemiomycotina	0.0012819507712671645	Wallemiomycotina
13114.girguis.50.s003	Pezizomycotina	0.0004944953039643367	Pezizomycotina
13114.girguis.50.s003	Saccharomycotina	0.014096327171450899	Saccharomycotina
13114.jensen.43.s012	Saccharomycotina	0.021295958426962993	Saccharomycotina
13114.king.27.s010	Pezizomycotina	0.05180628570836055	Pezizomycotina
13114.king.27.s010	Ustilaginomycotina	0.00019441938594581143	Ustilaginomycotina
13114.king.27.s011	Pezizomycotina	0.0005478841100151293	Pezizomycotina
13114.king.27.s011	Saccharomycotina	0.00029797205983278963	Saccharomycotina
13114.king.27.s012	Pezizomycotina	0.0013359966523409101	Pezizomycotina
13114.king.27.s015	Ustilaginomycotina	0.0002515556621406213	Ustilaginomycotina
13114.king.27.s015	Wallemiomycotina	0.00015372846019704635	Wallemiomycotina
13114.macrae.crerar.3.s001	Pezizomycotina	0.0004309883678774736	Pezizomycotina
13114.macrae.crerar.3.s011	Pezizomycotina	0.0004915836256617293	Pezizomycotina
13114.macrae.crerar.3.s011	Saccharomycotina	0.003637718829896798	Saccharomycotina
13114.makhalanyane.46.s004	Pezizomycotina	0.002447620912473076	Pezizomycotina
13114.mayer.33.s001	Agaricomycotina	0.0004799108870335601	Agaricomycotina
13114.mayer.33.s001	Saccharomycotina	0.005927547983090188	Saccharomycotina
13114.mayer.33.s002	Ustilaginomycotina	5.2961994896158475e-05	Ustilaginomycotina
13114.mayer.33.s002	Wallemiomycotina	0.00032130276903669477	Wallemiomycotina
13114.mayer.33.s005	Pezizomycotina	4.750696251079413e-05	Pezizomycotina
13114.mayer.33.s006	Agaricomycotina	0.0009186176770692227	Agaricomycotina
13114.mayer.33.s006	Pezizomycotina	7.688870424808472e-05	Pezizomycotina
13114.mayer.33.s006	Saccharomycotina	0.0045607141940837625	Saccharomycotina
13114.mayer.33.s006	Ustilaginomycotina	0.0002468532083754299	Ustilaginomycotina
13114.mayer.33.s006	Wallemiomycotina	0.00032374191262351463	Wallemiomycotina
13114.mayer.34.s001	Agaricomycotina	0.000737475132825533	Agaricomycotina
13114.mayer.34.s001	Pezizomycotina	0.0008453134777198326	Pezizomycotina
13114.mayer.34.s001	Saccharomycotina	0.005381481275854243	Saccharomycotina
13114.mayer.34.s001	Ustilaginomycotina	0.0007792190082684877	Ustilaginomycotina
13114.mayer.34.s003	Agaricomycotina	0.000795737821542669	Agaricomycotina
13114.mayer.34.s003	Pezizomycotina	0.0005012114849976552	Pezizomycotina
13114.mayer.34.s009	Agaricomycotina	8.26621249826045e-05	Agaricomycotina
13114.mayer.34.s010	Agaricomycotina	8.781499604978876e-05	Agaricomycotina
13114.mayer.34.s010	Pezizomycotina	0.00018538721388288739	Pezizomycotina
13114.mayer.34.s010	Taphrinomycotina	0.00018538721388288739	Taphrinomycotina
13114.mayer.34.s010	Wallemiomycotina	0.0009562077347643665	Wallemiomycotina
13114.mcmahon.21.s008	Saccharomycotina	9.890377038975405e-05	Saccharomycotina
13114.mcmahon.21.s010	Saccharomycotina	9.492542251983602e-05	Saccharomycotina
13114.metcalf.40.s001	Agaricomycotina	0.0002143609536490106	Agaricomycotina
13114.metcalf.40.s001	Pezizomycotina	0.001379366136524068	Pezizomycotina
13114.metcalf.40.s007	Wallemiomycotina	0.005056278258707603	Wallemiomycotina
13114.metcalf.40.s008	Agaricomycotina	0.000652051650381083	Agaricomycotina
13114.metcalf.40.s008	Pezizomycotina	6.0273681967999274e-05	Pezizomycotina
13114.metcalf.40.s008	Wallemiomycotina	0.000263012430405815	Wallemiomycotina
13114.metcalf.40.s011	Wallemiomycotina	0.0008668216131756198	Wallemiomycotina
13114.metcalf.40.s012	Saccharomycotina	0.00032099716957535756	Saccharomycotina
13114.metcalf.40.s012	Wallemiomycotina	0.00011983894330813348	Wallemiomycotina
13114.minich.76.s001	Saccharomycotina	0.0058631237776676955	Saccharomycotina
13114.minich.76.s001	Taphrinomycotina	0.0013610400372058638	Taphrinomycotina
13114.minich.76.s002	Agaricomycotina	2.9219955749299015e-05	Agaricomycotina
13114.minich.76.s002	Saccharomycotina	0.017436196927956706	Saccharomycotina
13114.minich.76.s002	Wallemiomycotina	0.00021752633724478156	Wallemiomycotina
13114.mousseau.88.s002	Agaricomycotina	0.000773158462771631	Agaricomycotina
13114.mousseau.88.s007	Saccharomycotina	0.00040875347195199076	Saccharomycotina
13114.mousseau.88.s013	Ustilaginomycotina	0.029098818411616014	Ustilaginomycotina
13114.mousseau.88.s014	Agaricomycotina	0.00044486505778684477	Agaricomycotina
13114.mousseau.88.s021	Saccharomycotina	0.0019828029644473446	Saccharomycotina
13114.mousseau.88.s027	Saccharomycotina	0.0010143173093248837	Saccharomycotina
13114.mousseau.88.s029	Agaricomycotina	0.00017267352060195245	Agaricomycotina
13114.mousseau.88.s029	Pezizomycotina	0.0007469437898766277	Pezizomycotina
13114.mousseau.88.s029	Saccharomycotina	0.0012767375462689817	Saccharomycotina
13114.mousseau.88.s029	Ustilaginomycotina	3.793584922315622e-05	Ustilaginomycotina
13114.mousseau.88.s034	Pezizomycotina	0.004322221621913664	Pezizomycotina
13114.mousseau.88.s034	Ustilaginomycotina	0.0090046283789868	Ustilaginomycotina
13114.mousseau.88.s059	Pezizomycotina	0.005898220310325031	Pezizomycotina
13114.mousseau.88.s061	Agaricomycotina	0.001071395464643251	Agaricomycotina
13114.mousseau.88.s061	Saccharomycotina	0.00342380724570778	Saccharomycotina
13114.mousseau.88.s061	Ustilaginomycotina	0.0038430489492638346	Ustilaginomycotina
13114.mousseau.88.s063	Agaricomycotina	0.0009259487888589842	Agaricomycotina
13114.mousseau.88.s065	Agaricomycotina	0.00019502438194823118	Agaricomycotina
13114.mousseau.88.s065	Saccharomycotina	0.0001852731628508196	Saccharomycotina
13114.mousseau.88.s069	Saccharomycotina	0.00022037887536252324	Saccharomycotina
13114.mousseau.88.s084	Ustilaginomycotina	0.00629992254206845	Ustilaginomycotina
13114.mousseau.88.s087	Agaricomycotina	7.899582315227642e-05	Agaricomycotina
13114.mousseau.88.s087	Pezizomycotina	0.00022570235186364688	Pezizomycotina
13114.mousseau.88.s087	Saccharomycotina	0.0013316438759955166	Saccharomycotina
13114.mousseau.88.s088	Agaricomycotina	0.00020023688022931125	Agaricomycotina
13114.mousseau.88.s088	Ustilaginomycotina	0.005181129275933429	Ustilaginomycotina
13114.mousseau.88.s100	Agaricomycotina	0.0011137363288865629	Agaricomycotina
13114.mousseau.88.s100	Saccharomycotina	0.0006637418525687598	Saccharomycotina
13114.mousseau.88.s101	Saccharomycotina	0.0018513741049739697	Saccharomycotina
13114.mousseau.88.s111	Saccharomycotina	0.00037451149656666583	Saccharomycotina
13114.mousseau.88.s112	Ustilaginomycotina	0.03246838791008567	Ustilaginomycotina
13114.myrold.5.s002	Agaricomycotina	0.0030682677806810506	Agaricomycotina
13114.myrold.5.s002	Pezizomycotina	0.0007099265181034032	Pezizomycotina
13114.myrold.5.s010	Agaricomycotina	0.00014792539342439352	Agaricomycotina
13114.myrold.5.s010	Pezizomycotina	0.010976736580241928	Pezizomycotina
