run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	sample_name	library_strategy	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR5001724	SAMEA7723389	ERX4811007	PRJEB42019	1076179	bioreactor metagenome	ILLUMINA	13114.angenent.65.s002	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001724/ERR5001724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001724/ERR5001724_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001724/13114.angenent.65.s002.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001724/13114.angenent.65.s002.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/004/ERR5001724.bam
ERR5001725	SAMEA7724098	ERX4811008	PRJEB42019	1076179	bioreactor metagenome	ILLUMINA	13114.angenent.65.s003	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001725/ERR5001725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001725/ERR5001725_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001725/13114.angenent.65.s003.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001725/13114.angenent.65.s003.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/005/ERR5001725.bam
ERR5001726	SAMEA7724099	ERX4811009	PRJEB42019	1076179	bioreactor metagenome	ILLUMINA	13114.angenent.65.s004	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001726/ERR5001726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001726/ERR5001726_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001726/13114.angenent.65.s004.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001726/13114.angenent.65.s004.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/006/ERR5001726.bam
ERR5001728	SAMEA7723848	ERX4811011	PRJEB42019	1076179	bioreactor metagenome	ILLUMINA	13114.angenent.65.s006	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001728/ERR5001728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001728/ERR5001728_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001728/13114.angenent.65.s006.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001728/13114.angenent.65.s006.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/008/ERR5001728.bam
ERR5001732	SAMEA7723849	ERX4811015	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s001	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001732/ERR5001732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001732/ERR5001732_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001732/13114.berry.2.s001.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001732/13114.berry.2.s001.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5001732.bam
ERR5001735	SAMEA7723392	ERX4811018	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s004	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001735/ERR5001735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001735/ERR5001735_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001735/13114.berry.2.s004.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001735/13114.berry.2.s004.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/005/ERR5001735.bam
ERR5001736	SAMEA7723851	ERX4811019	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s005	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001736/ERR5001736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001736/ERR5001736_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001736/13114.berry.2.s005.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001736/13114.berry.2.s005.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/006/ERR5001736.bam
ERR5001738	SAMEA7723393	ERX4811021	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s007	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001738/ERR5001738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001738/ERR5001738_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001738/13114.berry.2.s007.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001738/13114.berry.2.s007.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/008/ERR5001738.bam
ERR5001742	SAMEA7723397	ERX4811025	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s011	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001742/ERR5001742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001742/ERR5001742_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001742/13114.berry.2.s011.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001742/13114.berry.2.s011.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5001742.bam
ERR5001746	SAMEA7723854	ERX4811029	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s015	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001746/ERR5001746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001746/ERR5001746_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001746/13114.berry.2.s015.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001746/13114.berry.2.s015.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/006/ERR5001746.bam
ERR5001752	SAMEA7723857	ERX4811035	PRJEB42019	1297885	plant metagenome	ILLUMINA	13114.bittleston.68.s001	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001752/ERR5001752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001752/ERR5001752_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001752/13114.bittleston.68.s001.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001752/13114.bittleston.68.s001.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5001752.bam
ERR5001754	SAMEA7723859	ERX4811037	PRJEB42019	1297885	plant metagenome	ILLUMINA	13114.bittleston.68.s003	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001754/ERR5001754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001754/ERR5001754_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001754/13114.bittleston.68.s003.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001754/13114.bittleston.68.s003.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/004/ERR5001754.bam
ERR5001756	SAMEA7723861	ERX4811039	PRJEB42019	1297885	plant metagenome	ILLUMINA	13114.bittleston.68.s005	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001756/ERR5001756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001756/ERR5001756_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001756/13114.bittleston.68.s005.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001756/13114.bittleston.68.s005.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/006/ERR5001756.bam
ERR5001757	SAMEA7723862	ERX4811040	PRJEB42019	1297885	plant metagenome	ILLUMINA	13114.bittleston.68.s006	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001757/ERR5001757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001757/ERR5001757_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001757/13114.bittleston.68.s006.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001757/13114.bittleston.68.s006.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/007/ERR5001757.bam
ERR5001762	SAMEA7723867	ERX4811045	PRJEB42019	1297885	plant metagenome	ILLUMINA	13114.bittleston.68.s011	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001762/ERR5001762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001762/ERR5001762_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001762/13114.bittleston.68.s011.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001762/13114.bittleston.68.s011.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5001762.bam
ERR5001767	SAMEA7723872	ERX4811050	PRJEB42019	412755	marine sediment metagenome	ILLUMINA	13114.bowen.74.s002	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001767/ERR5001767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001767/ERR5001767_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001767/13114.bowen.74.s002.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001767/13114.bowen.74.s002.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/007/ERR5001767.bam
ERR5001769	SAMEA7723400	ERX4811052	PRJEB42019	412755	marine sediment metagenome	ILLUMINA	13114.bowen.74.s004	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001769/ERR5001769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001769/ERR5001769_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001769/13114.bowen.74.s004.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001769/13114.bowen.74.s004.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/009/ERR5001769.bam
ERR5001771	SAMEA7723402	ERX4811054	PRJEB42019	412755	marine sediment metagenome	ILLUMINA	13114.bowen.74.s006	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5001771/ERR5001771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5001771/ERR5001771_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001771/13114.bowen.74.s006.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001771/13114.bowen.74.s006.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/001/ERR5001771.bam
ERR5001774	SAMEA7723876	ERX4811057	PRJEB42019	412755	marine sediment metagenome	ILLUMINA	13114.bowen.74.s009	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001774/ERR5001774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001774/ERR5001774_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001774/13114.bowen.74.s009.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001774/13114.bowen.74.s009.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/004/ERR5001774.bam
ERR5001782	SAMEA7723406	ERX4811065	PRJEB42019	1417798	mollusc metagenome	ILLUMINA	13114.distel.72.s001	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001782/ERR5001782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001782/ERR5001782_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001782/13114.distel.72.s001.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001782/13114.distel.72.s001.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5001782.bam
ERR5001783	SAMEA7723606	ERX4811066	PRJEB42019	1417798	mollusc metagenome	ILLUMINA	13114.distel.72.s002	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001783/ERR5001783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001783/ERR5001783_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001783/13114.distel.72.s002.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001783/13114.distel.72.s002.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5001783.bam
ERR5001787	SAMEA7723884	ERX4811070	PRJEB42019	1417798	mollusc metagenome	ILLUMINA	13114.distel.72.s006	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001787/ERR5001787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001787/ERR5001787_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001787/13114.distel.72.s006.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001787/13114.distel.72.s006.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/007/ERR5001787.bam
ERR5001792	SAMEA7723408	ERX4811075	PRJEB42019	1417798	mollusc metagenome	ILLUMINA	13114.distel.72.s011	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001792/ERR5001792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001792/ERR5001792_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001792/13114.distel.72.s011.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001792/13114.distel.72.s011.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5001792.bam
ERR5001793	SAMEA7723889	ERX4811076	PRJEB42019	1417798	mollusc metagenome	ILLUMINA	13114.distel.72.s012	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001793/ERR5001793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001793/ERR5001793_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001793/13114.distel.72.s012.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001793/13114.distel.72.s012.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5001793.bam
ERR5001800	SAMEA7723412	ERX4811083	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.girguis.50.s005	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5001800/ERR5001800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5001800/ERR5001800_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001800/13114.girguis.50.s005.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001800/13114.girguis.50.s005.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/000/ERR5001800.bam
ERR5001812	SAMEA7723419	ERX4811095	PRJEB42019	412755	marine sediment metagenome	ILLUMINA	13114.jensen.43.s005	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001812/ERR5001812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001812/ERR5001812_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001812/13114.jensen.43.s005.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001812/13114.jensen.43.s005.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5001812.bam
ERR5001813	SAMEA7723420	ERX4811096	PRJEB42019	412755	marine sediment metagenome	ILLUMINA	13114.jensen.43.s006	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001813/ERR5001813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001813/ERR5001813_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001813/13114.jensen.43.s006.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001813/13114.jensen.43.s006.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5001813.bam
ERR5001818	SAMEA7723610	ERX4811101	PRJEB42019	412755	marine sediment metagenome	ILLUMINA	13114.jensen.43.s011	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001818/ERR5001818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001818/ERR5001818_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001818/13114.jensen.43.s011.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001818/13114.jensen.43.s011.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/008/ERR5001818.bam
ERR5001826	SAMEA7723900	ERX4811109	PRJEB42019	412755	marine sediment metagenome	ILLUMINA	13114.jensen.43.s019	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001826/ERR5001826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001826/ERR5001826_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001826/13114.jensen.43.s019.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001826/13114.jensen.43.s019.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/006/ERR5001826.bam
ERR5001829	SAMEA7724102	ERX4811112	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.king.27.s004	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001829/ERR5001829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001829/ERR5001829_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001829/13114.king.27.s004.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001829/13114.king.27.s004.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/009/ERR5001829.bam
ERR5001830	SAMEA7723902	ERX4811113	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.king.27.s005	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5001830/ERR5001830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5001830/ERR5001830_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001830/13114.king.27.s005.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001830/13114.king.27.s005.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/000/ERR5001830.bam
ERR5001833	SAMEA7724104	ERX4811116	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.king.27.s009	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001833/ERR5001833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001833/ERR5001833_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001833/13114.king.27.s009.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001833/13114.king.27.s009.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5001833.bam
ERR5001834	SAMEA7723903	ERX4811117	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.king.27.s010	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001834/ERR5001834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001834/ERR5001834_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001834/13114.king.27.s010.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001834/13114.king.27.s010.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/004/ERR5001834.bam
ERR5001837	SAMEA7723432	ERX4811120	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.king.27.s013	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001837/ERR5001837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001837/ERR5001837_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001837/13114.king.27.s013.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001837/13114.king.27.s013.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/007/ERR5001837.bam
ERR5001839	SAMEA7724105	ERX4811122	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.king.27.s015	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001839/ERR5001839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001839/ERR5001839_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001839/13114.king.27.s015.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001839/13114.king.27.s015.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/009/ERR5001839.bam
ERR5001840	SAMEA7723906	ERX4811123	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.king.27.s016	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5001840/ERR5001840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5001840/ERR5001840_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001840/13114.king.27.s016.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001840/13114.king.27.s016.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/000/ERR5001840.bam
ERR5001851	SAMEA7724116	ERX4811134	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.macrae.crerar.3.s010	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5001851/ERR5001851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5001851/ERR5001851_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001851/13114.macrae.crerar.3.s010.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001851/13114.macrae.crerar.3.s010.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/001/ERR5001851.bam
ERR5001853	SAMEA7724118	ERX4811136	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.macrae.crerar.3.s012	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001853/ERR5001853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001853/ERR5001853_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001853/13114.macrae.crerar.3.s012.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001853/13114.macrae.crerar.3.s012.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5001853.bam
ERR5001856	SAMEA7723437	ERX4811139	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.mayer.33.s002	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001856/ERR5001856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001856/ERR5001856_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001856/13114.mayer.33.s002.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001856/13114.mayer.33.s002.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/006/ERR5001856.bam
ERR5001857	SAMEA7723438	ERX4811140	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.mayer.33.s003	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001857/ERR5001857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001857/ERR5001857_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001857/13114.mayer.33.s003.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001857/13114.mayer.33.s003.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/007/ERR5001857.bam
ERR5001859	SAMEA7723612	ERX4811142	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.mayer.33.s005	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001859/ERR5001859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001859/ERR5001859_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001859/13114.mayer.33.s005.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001859/13114.mayer.33.s005.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/009/ERR5001859.bam
ERR5001868	SAMEA7723913	ERX4811151	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.mayer.34.s007	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001868/ERR5001868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001868/ERR5001868_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001868/13114.mayer.34.s007.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001868/13114.mayer.34.s007.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/008/ERR5001868.bam
