run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	sample_name	library_strategy	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR5003163	SAMEA7723923	ERX4812446	PRJEB42019	942017	activated sludge metagenome	ILLUMINA	13114.mcmahon.21.s013	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5003163/ERR5003163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5003163/ERR5003163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003163/13114.mcmahon.21.s013.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003163/13114.mcmahon.21.s013.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5003163.bam
ERR5005189	SAMEA7723626	ERX4814472	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s018	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5005189/ERR5005189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5005189/ERR5005189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005189/13114.mousseau.88.s018.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005189/13114.mousseau.88.s018.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/009/ERR5005189.bam
ERR5003167	SAMEA7724136	ERX4812450	PRJEB42019	942017	activated sludge metagenome	ILLUMINA	13114.mcmahon.21.s017	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5003167/ERR5003167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5003167/ERR5003167_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003167/13114.mcmahon.21.s017.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003167/13114.mcmahon.21.s017.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/007/ERR5003167.bam
ERR5005193	SAMEA7724148	ERX4814476	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s022	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5005193/ERR5005193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5005193/ERR5005193_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005193/13114.mousseau.88.s022.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005193/13114.mousseau.88.s022.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5005193.bam
ERR5003172	SAMEA7723446	ERX4812455	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.metcalf.40.s005	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5003172/ERR5003172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5003172/ERR5003172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003172/13114.metcalf.40.s005.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003172/13114.metcalf.40.s005.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5003172.bam
ERR5005194	SAMEA7723627	ERX4814477	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s023	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5005194/ERR5005194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5005194/ERR5005194_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005194/13114.mousseau.88.s023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005194/13114.mousseau.88.s023.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/004/ERR5005194.bam
ERR5003173	SAMEA7723447	ERX4812456	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.metcalf.40.s006	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5003173/ERR5003173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5003173/ERR5003173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003173/13114.metcalf.40.s006.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003173/13114.metcalf.40.s006.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5003173.bam
ERR5005195	SAMEA7724149	ERX4814478	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s024	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5005195/ERR5005195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5005195/ERR5005195_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005195/13114.mousseau.88.s024.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005195/13114.mousseau.88.s024.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/005/ERR5005195.bam
ERR5005202	SAMEA7723630	ERX4814485	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s031	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5005202/ERR5005202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5005202/ERR5005202_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005202/13114.mousseau.88.s031.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005202/13114.mousseau.88.s031.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5005202.bam
ERR5003174	SAMEA7723615	ERX4812457	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.metcalf.40.s007	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5003174/ERR5003174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5003174/ERR5003174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003174/13114.metcalf.40.s007.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003174/13114.metcalf.40.s007.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/004/ERR5003174.bam
