File_ID	reads_length	Name	Rank	Lineage	Taxid	sample_name	empo_1	empo_2	empo_3	empo_4	highest_taxa	genus	isyeast	subphylum
ERR5005109	22321788	Stramenopiles sp. TOSAG41-1	species	species-Stramenopiles_sp._TOSAG41-1	1735744	13114.zaneveld.9.s021	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5005109	22321788	Chloropicon roscoffensis	species	phylum-Chlorophyta|class-Chloropicophyceae|order-Chloropicales|family-Chloropicaceae|genus-Chloropicon|species-Chloropicon_roscoffensis	1461544	13114.zaneveld.9.s021	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5005109	22321788	Pelagomonas calceolata	species	class-Pelagophyceae|order-Pelagomonadales|genus-Pelagomonas|species-Pelagomonas_calceolata	35677	13114.zaneveld.9.s021	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5005109	22321788	Acropora millepora	species	phylum-Cnidaria|class-Anthozoa|order-Scleractinia|family-Acroporidae|genus-Acropora|species-Acropora_millepora	45264	13114.zaneveld.9.s021	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004728	24790678	Leucoagaricus gongylophorus Ac12	species	phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Agaricaceae|genus-Leucoagaricus|species-Leucoagaricus_gongylophorus	1258663	13114.pinto.63.s007	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)	Basidiomycota	Leucoagaricus	N	Agaricomycotina
ERR5002222	6968988	Chloropicon roscoffensis	species	phylum-Chlorophyta|class-Chloropicophyceae|order-Chloropicales|family-Chloropicaceae|genus-Chloropicon|species-Chloropicon_roscoffensis	1461544	13114.thomas.19.s022	Host-associated	Plant	Plant surface	Plant surface (saline)				NA
ERR5002222	6968988	Aplanochytrium kerguelense	species	class-Bigyra|order-Labyrinthulomycetes|family-Thraustochytriaceae|genus-Aplanochytrium|species-Aplanochytrium_kerguelense	87111	13114.thomas.19.s022	Host-associated	Plant	Plant surface	Plant surface (saline)				NA
ERR5003443	16695652	Ostreococcus sp. SAG10	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Ostreococcus|species-Ostreococcus_sp._SAG10	2590005	13114.stewart.26.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003443	16695652	Bathycoccus sp. TOSAG39-1	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Bathycoccus|species-Bathycoccus_sp._TOSAG39-1	1735750	13114.stewart.26.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003443	16695652	Stramenopiles sp. TOSAG23-2	species	species-Stramenopiles_sp._TOSAG23-2	1735743	13114.stewart.26.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003443	16695652	Pelagomonas calceolata	species	class-Pelagophyceae|order-Pelagomonadales|genus-Pelagomonas|species-Pelagomonas_calceolata	35677	13114.stewart.26.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5005318	31721380	Clavispora lusitaniae ATCC 42720	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Clavispora|species-Clavispora_lusitaniae	306902	13114.song.53.s002	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)	Ascomycota	Clavispora	Y	Saccharomycotina
ERR5005318	31721380	Candida parapsilosis	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Candida|species-Candida_parapsilosis	5480	13114.song.53.s002	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)				NA
ERR5005318	31721380	Armadillidium nasatum	species	phylum-Arthropoda|class-Malacostraca|order-Isopoda|family-Armadillidiidae|genus-Armadillidium|species-Armadillidium_nasatum	96803	13114.song.53.s002	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)				NA
ERR5005318	31721380	Malassezia furfur	species	phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia|species-Malassezia_furfur	55194	13114.song.53.s002	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)				NA
ERR5004744	20575834	Frieseomelitta varia	species	phylum-Arthropoda|class-Insecta|order-Hymenoptera|family-Apidae|genus-Frieseomelitta|species-Frieseomelitta_varia	561572	13114.pinto.63.s023	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)				NA
ERR5004744	20575834	Melipona quadrifasciata	species	phylum-Arthropoda|class-Insecta|order-Hymenoptera|family-Apidae|genus-Melipona|species-Melipona_quadrifasciata	166423	13114.pinto.63.s023	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)				NA
ERR5004744	20575834	Tetragonula hockingsi	species	phylum-Arthropoda|class-Insecta|order-Hymenoptera|family-Apidae|genus-Tetragonula|species-Tetragonula_hockingsi	270528	13114.pinto.63.s023	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)				NA
ERR5004535	29496840	Exophiala oligosperma	species	phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Herpotrichiellaceae|genus-Exophiala|species-Exophiala_oligosperma	215243	13114.mcmahon.21.s010	Free-living	Non-saline	Water (non-saline)	Water (non-saline)				NA
ERR5004683	9898660	Saitozyma podzolica	species	phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Trimorphomycetaceae|genus-Saitozyma|species-Saitozyma_podzolica	1890683	13114.myrold.59.s003	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Basidiomycota	Saitozyma	Y	Agaricomycotina
ERR5003499	5079776	Phoma herbarum	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Phoma|species-Phoma_herbarum	73001	13114.thomas.19.s020	Host-associated	Plant	Plant surface	Plant surface (saline)				NA
ERR5003248	19273576	Leucoagaricus gongylophorus Ac12	species	phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Agaricaceae|genus-Leucoagaricus|species-Leucoagaricus_gongylophorus	1258663	13114.pinto.63.s011	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)	Basidiomycota	Leucoagaricus	N	Agaricomycotina
ERR5004990	17234924	Ostreococcus lucimarinus CCE9901	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Ostreococcus|species-Ostreococcus_sp._'lucimarinus'	436017	13114.tait.77.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004990	17234924	Stramenopiles sp. TOSAG23-2	species	species-Stramenopiles_sp._TOSAG23-2	1735743	13114.tait.77.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004990	17234924	Phaeocystis globosa	species	phylum-Haptista|class-Haptophyta|order-Phaeocystales|family-Phaeocystaceae|genus-Phaeocystis|species-Phaeocystis_globosa	33658	13114.tait.77.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004990	17234924	Pycnococcus provasolii	species	phylum-Chlorophyta|family-Pycnococcaceae|genus-Pycnococcus|species-Pycnococcus_provasolii	41880	13114.tait.77.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004990	17234924	Bathycoccus prasinos	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Bathycoccus|species-Bathycoccus_prasinos	41875	13114.tait.77.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004990	17234924	Pseudo-nitzschia delicatissima	species	phylum-Bacillariophyta|class-Bacillariophyceae|order-Bacillariales|family-Bacillariaceae|genus-Pseudo-nitzschia|species-Pseudo-nitzschia_delicatissima	44447	13114.tait.77.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004990	17234924	Arcocellulus cornucervis	species	phylum-Bacillariophyta|class-Mediophyceae|order-Cymatosirales|family-Cymatosiraceae|genus-Arcocellulus|species-Arcocellulus_cornucervis	1155433	13114.tait.77.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004191	10400484	Thecamonas trahens ATCC 50062	species	family-Apusomonadidae|genus-Thecamonas|species-Thecamonas_trahens	461836	13114.stewart.26.s001	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5005018	20564408	Chloropicon roscoffensis	species	phylum-Chlorophyta|class-Chloropicophyceae|order-Chloropicales|family-Chloropicaceae|genus-Chloropicon|species-Chloropicon_roscoffensis	1461544	13114.thomas.18.s030	Host-associated	Animal	Animal corpus	Animal corpus (saline)				NA
ERR5003509	464338	Saccharomyces cerevisiae S288C	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_cerevisiae	559292	13114.tucker.58.s008	Free-living	Non-saline	Subsurface (non-saline)	Subsurface (non-saline)				NA
ERR5003764	20352622	Mortierella elongata AG-77	species	phylum-Mucoromycota|class-Mortierellomycetes|order-Mortierellales|family-Mortierellaceae|genus-Mortierella|species-Mortierella_elongata	1314771	13114.metcalf.81.s002	Host-associated	Animal	Animal corpus	Animal corpus (non-saline)	Mucoromycota	Mortierella	N	Mortierellomycotina
ERR5004691	33596730	Solicoccozyma terricola	species	phylum-Basidiomycota|class-Tremellomycetes|order-Filobasidiales|family-Piskurozymaceae|genus-Solicoccozyma|species-Solicoccozyma_terricola	104414	13114.myrold.59.s011	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Basidiomycota	Solicoccozyma	Y	Agaricomycotina
ERR5005081	17133318	Cladonia uncialis	species	phylum-Ascomycota|class-Lecanoromycetes|order-Lecanorales|family-Cladoniaceae|genus-Cladonia|species-Cladonia_uncialis	174080	13114.uren.82.s005	Host-associated	Fungus	Fungus corpus	Fungus corpus (non-saline)	Ascomycota	Cladonia	N	Pezizomycotina
ERR5004587	76444842	Debaryomyces hansenii CBS767	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Debaryomyces|species-Debaryomyces_hansenii	284592	13114.mousseau.88.s029	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)	Ascomycota	Debaryomyces	Y	Saccharomycotina
ERR5004761	600610	Phoma herbarum	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Phoma|species-Phoma_herbarum	73001	13114.rohwer.85.s008	Free-living	Saline	Sediment (saline)	Sediment (saline)	Ascomycota	Phoma	N	Pezizomycotina
ERR5004536	21459132	Pestalotiopsis sp. JCM 9685	species	phylum-Ascomycota|class-Sordariomycetes|order-Xylariales|family-Sporocadaceae|genus-Pestalotiopsis|species-Pestalotiopsis_sp._JCM_9685	1633207	13114.metcalf.40.s001	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Ascomycota	Pestalotiopsis	N	Pezizomycotina
ERR5003922	22963314	Micromonas bravo	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Mamiellaceae|genus-Micromonas|species-Micromonas_bravo	296588	13114.palenik.42.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003922	22963314	Bathycoccus prasinos	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Bathycoccus|species-Bathycoccus_prasinos	41875	13114.palenik.42.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003922	22963314	Ostreococcus lucimarinus CCE9901	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Ostreococcus|species-Ostreococcus_sp._'lucimarinus'	436017	13114.palenik.42.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003922	22963314	Tetrahymena thermophila	species	phylum-Ciliophora|class-Oligohymenophorea|order-Hymenostomatida|family-Tetrahymenidae|genus-Tetrahymena|species-Tetrahymena_thermophila	5911	13114.palenik.42.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003922	22963314	Asterionellopsis glacialis	species	phylum-Bacillariophyta|class-Fragilariophyceae|order-Fragilariales|family-Fragilariaceae|genus-Asterionellopsis|species-Asterionellopsis_glacialis	33640	13114.palenik.42.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003922	22963314	Chrysochromulina rotalis	species	phylum-Haptista|class-Haptophyta|order-Prymnesiales|family-Chrysochromulinaceae|genus-Chrysochromulina|species-Chrysochromulina_rotalis	412157	13114.palenik.42.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003922	22963314	Florenciella parvula	species	class-Dictyochophyceae|order-Florenciellales|genus-Florenciella|species-Florenciella_parvula	236787	13114.palenik.42.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003922	22963314	Telonema subtile	species	order-Telonemida|genus-Telonema|species-Telonema_subtile	232287	13114.palenik.42.s007	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004616	6103536	Leucoagaricus gongylophorus Ac12	species	phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Agaricaceae|genus-Leucoagaricus|species-Leucoagaricus_gongylophorus	1258663	13114.mousseau.88.s059	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)	Basidiomycota	Leucoagaricus	N	Agaricomycotina
ERR5003242	21014118	Leucoagaricus gongylophorus Ac12	species	phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Agaricaceae|genus-Leucoagaricus|species-Leucoagaricus_gongylophorus	1258663	13114.pinto.63.s004	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)	Basidiomycota	Leucoagaricus	N	Agaricomycotina
ERR5003242	21014118	Atta colombica	species	phylum-Arthropoda|class-Insecta|order-Hymenoptera|family-Formicidae|genus-Atta|species-Atta_colombica	520822	13114.pinto.63.s004	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)				NA
ERR5003962	16809322	Penicillium citrinum	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Penicillium|species-Penicillium_citrinum	5077	13114.pinto.63.s028	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)	Ascomycota	Penicillium	N	Pezizomycotina
ERR5003645	24710030	Mycosphaerella populi pn0402	species	phylum-Ascomycota|class-Dothideomycetes|order-Capnodiales|family-Mycosphaerellaceae|genus-Mycosphaerella|species-Mycosphaerella_populi	1367537	13114.distel.72.s015	Free-living	Saline	Surface (saline)	Surface (saline)				NA
ERR5003289	15574286	Penicillium chrysogenum	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Penicillium|species-Penicillium_chrysogenum	5076	13114.rohwer.85.s022	Free-living	Saline	Sediment (saline)	Sediment (saline)				NA
ERR5003932	23761762	Ostreococcus lucimarinus CCE9901	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Ostreococcus|species-Ostreococcus_sp._'lucimarinus'	436017	13114.palenik.42.s018	Free-living	Saline	Water (saline)	Water (saline)				NA
