sample	abundance	category	empo_1	empo_2	empo_3	empo_4
13114.thomas.18.s038	13592.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s039	17117.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s045	1912.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s049	1.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s052	19954.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s053	18338.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s055	7043.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s056	6414.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s057	4973.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.19.s050	2193.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s054	1789.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s055	8144.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s056	2852.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s058	1642.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s059	16.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s060	5210.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s062	1262.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s064	4637.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.tucker.58.s004	121.0	Subsurface (non-saline)	Free-living	Non-saline	Subsurface (non-saline)	Subsurface (non-saline)
13114.tucker.58.s007	3.0	Subsurface (non-saline)	Free-living	Non-saline	Subsurface (non-saline)	Subsurface (non-saline)
13114.uren.82.s003	12555.0	Fungus corpus	Host-associated	Fungus	Fungus corpus	Fungus corpus (non-saline)
