sample	abundance	category	empo_1	empo_2	empo_3	empo_4
13114.thomas.19.s003	1311.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s004	2856.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s007	2909.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s008	5646.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s009	4112.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s010	8797.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s019	6485.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s020	5768.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s023	2080.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s026	2831.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.berry.2.s008	3742.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
13114.bittleston.68.s015	1019.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (non-saline)
13114.bowen.74.s004	7506.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.distel.72.s011	6941.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (saline)
13114.jensen.43.s002	859.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.jensen.43.s006	8897.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.jensen.43.s017	3318.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.king.27.s003	2746.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.king.27.s004	8025.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.king.27.s014	30966.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.king.27.s018	1684.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.macrae.crerar.3.s003	13206.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.macrae.crerar.3.s008	4313.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.makhalanyane.47.s001	6.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.metcalf.40.s009	12086.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.metcalf.40.s010	11061.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.mousseau.88.s020	1102.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s030	13030.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s046	6235.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s048	423.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s058	15422.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s067	217.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s086	14930.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.myrold.59.s012	35.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.pinto.63.s001	5997623.0	Plant corpus	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)
